	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	featureData.symbol
ENSG00000187608	781.8492531	5.441631751	0.150130507	36.24600931	1.15E-287	9.29E-284	ISG15
ENSG00000172183	818.3960943	3.298359352	0.096416137	34.20961928	1.74E-256	7.03E-253	ISG20
ENSG00000119917	278.2002662	6.609962323	0.198913849	33.23027713	3.93E-242	1.06E-238	IFIT3
ENSG00000160932	187.2992957	4.124109782	0.132621298	31.0968889	2.65E-212	5.36E-209	LY6E
ENSG00000185745	181.7165503	6.441061404	0.223031491	28.87960524	2.15E-183	3.48E-180	IFIT1
ENSG00000121858	123.9658969	5.742895879	0.228557624	25.12668697	2.54E-139	3.43E-136	TNFSF10
ENSG00000119922	138.467816	6.010802632	0.242073069	24.83053016	4.20E-136	4.85E-133	IFIT2
ENSG00000185507	143.5841087	3.672516148	0.151083651	24.307833	1.62E-130	1.64E-127	IRF7
ENSG00000156587	158.5649871	2.751121267	0.12167511	22.61038644	3.43E-113	3.08E-110	UBE2L6
ENSG00000068079	66.58469391	4.009962398	0.17778418	22.55522624	1.19E-112	9.65E-110	IFI35
ENSG00000188313	118.5153001	4.143532004	0.186482505	22.21941416	2.23E-109	1.64E-106	PLSCR1
ENSG00000101608	247.2122119	1.466694027	0.067293014	21.79563575	2.55E-105	1.72E-102	MYL12A
ENSG00000240065	231.271773	2.024949816	0.098270256	20.60592795	2.43E-94	1.51E-91	PSMB9
ENSG00000122643	56.21028613	3.867891537	0.18849204	20.52018504	1.42E-93	8.21E-91	NT5C3A
ENSG00000055332	57.93311119	3.25703349	0.160200189	20.33102156	6.84E-92	3.69E-89	EIF2AK2
ENSG00000089127	80.9030032	4.40873666	0.223602378	19.71685946	1.55E-86	7.81E-84	OAS1
ENSG00000133106	94.80253882	3.76319122	0.191225875	19.67929921	3.24E-86	1.54E-83	EPSTI1
ENSG00000146425	71.21120608	3.019378263	0.15578186	19.38209152	1.09E-83	4.91E-81	DYNLT1
ENSG00000138646	63.88863272	5.174805847	0.270586431	19.12441003	1.58E-81	6.73E-79	HERC5
ENSG00000185201	116.1651349	2.930220466	0.155051886	18.89832203	1.18E-79	4.76E-77	IFITM2
ENSG00000135899	56.48142465	2.364822179	0.128845564	18.3539278	3.07E-75	1.18E-72	SP110
ENSG00000106588	125.8726373	1.561802157	0.085513334	18.26384362	1.61E-74	5.90E-72	PSMA2
ENSG00000117228	82.68524955	3.851290955	0.212116111	18.15652259	1.14E-73	4.01E-71	GBP1
ENSG00000177409	68.81436053	4.077577199	0.227593975	17.91601553	8.84E-72	2.98E-69	SAMD9L
ENSG00000163644	59.52178196	2.641129288	0.147971986	17.84884666	2.95E-71	9.54E-69	PPM1K
ENSG00000132274	41.27624225	3.086649747	0.173204335	17.82085731	4.87E-71	1.51E-68	TRIM22
ENSG00000205413	50.97328657	3.030917459	0.17035984	17.79126732	8.26E-71	2.47E-68	SAMD9
ENSG00000185338	90.99524615	2.460433936	0.139417783	17.64792036	1.06E-69	3.05E-67	SOCS1
ENSG00000183486	47.29020677	4.06470397	0.230389234	17.64276869	1.16E-69	3.22E-67	MX2
ENSG00000132530	38.13230834	3.419887576	0.196906033	17.36811986	1.44E-67	3.88E-65	XAF1
ENSG00000130303	122.5535051	2.225534846	0.128710286	17.29104104	5.50E-67	1.43E-64	BST2
ENSG00000107201	36.47433476	3.840175369	0.232773905	16.49744788	3.83E-61	9.67E-59	DDX58
ENSG00000135114	40.06012382	4.945000823	0.301563157	16.39789448	1.98E-60	4.85E-58	OASL
ENSG00000169245	393.6787249	7.735079307	0.480076882	16.11216787	2.10E-58	4.98E-56	CXCL10
ENSG00000034510	311.1697533	1.22955357	0.076460041	16.08099533	3.47E-58	8.01E-56	TMSB10
ENSG00000130066	208.6719742	2.10972559	0.133154557	15.84418614	1.54E-56	3.37E-54	SAT1
ENSG00000002549	53.88028305	2.928392123	0.187891741	15.58552869	9.13E-55	1.94E-52	LAP3
ENSG00000100911	193.1459077	1.348507648	0.086601198	15.57146641	1.14E-54	2.36E-52	PSME2
ENSG00000175550	96.37508352	1.870100228	0.120362521	15.53723043	1.94E-54	3.93E-52	DRAP1
ENSG00000163565	85.82166731	2.285273287	0.147294796	15.51496288	2.75E-54	5.42E-52	IFI16
ENSG00000204592	297.8555764	1.070751199	0.070397633	15.21004558	3.03E-52	5.84E-50	HLA-E
ENSG00000134321	46.41636935	6.549426358	0.431737906	15.16991273	5.60E-52	1.05E-49	RSAD2
ENSG00000134326	31.39309534	5.5393528	0.367813469	15.06022283	2.96E-51	5.44E-49	CMPK2
ENSG00000188404	82.00075507	1.901191476	0.126402901	15.04072667	3.97E-51	7.14E-49	SELL
ENSG00000126709	259.4634547	5.486410542	0.366954313	14.95120875	1.53E-50	2.69E-48	IFI6
ENSG00000125148	31.47245501	3.377472411	0.228867274	14.75734099	2.76E-49	4.75E-47	MT2A
ENSG00000204264	105.4225445	1.381516676	0.094538099	14.61333248	2.31E-48	3.89E-46	PSMB8
ENSG00000041357	92.43690605	1.306014189	0.089655318	14.56705768	4.55E-48	7.51E-46	PSMA4
